number,title,pageid,namespace,length,touched
130,Raid_on_the_Suez_Canal,3085639,,36323,20260310010925
131,Battle_of_Kilimanjaro,3085688,,7544,20250818073329
132,Battle_of_the_Rufiji_Delta,3085746,,11674,20260305000621
133,Battle_of_Segale,3106407,,8483,20260130081929
134,Battle_of_Konary,3129580,,2954,20251229021541
135,Battle_of_Soissons_(1918),3172432,,117047,20260323203239
136,Battle_of_Penang,3173826,,13178,20260309035943
137,Battle_of_Gorizia_(1916),3179576,,10747,20251126090605
138,Battle_of_Erzincan,3179986,,3760,20251130000622
139,Battle_of_Kraśnik,3274292,,9956,20251104174729
140,First_Battle_of_the_Masurian_Lakes,3431468,,45596,20260218035854
141,Battle_of_Lorraine,3432349,,17518,20260222020820
142,Battle_of_Charleroi,3432431,,21176,20260302204749
143,Battle_of_Gumbinnen,3452133,,13563,20251126162006
144,Battle_of_Tampere,3464055,,24246,20251217223640
145,Battle_of_Hill_70,3591103,,64996,20250618193353
146,Battle_of_Festubert,3619543,,12281,20260211222057
147,Battle_of_Neuve-Chapelle,3629345,,26486,20260307123501
148,Battle_of_Aqaba,3777986,,12584,20260210154126
149,Operation_Albion,3841369,,11193,20260409021232
150,Capture_of_Schwaben_Redoubt,3878128,,47105,20251117132327
151,Battle_of_Épehy,3927699,,12137,20260302005735
152,Battle_of_Havrincourt,3939571,,4946,20250122204241
153,Battle_of_Humin-Bolimów,4211390,,21863,20260221220205
154,First_Battle_of_the_Isonzo,4211499,,9335,20260221013624
155,Second_Battle_of_the_Isonzo,4211525,,6708,20260103193000
156,Third_Battle_of_the_Isonzo,4211579,,10634,20260120213140
157,Battle_of_Asiago,4211613,,11205,20260101022758
158,Fao_Landing,4212058,,8200,20260309040302
159,Battle_of_Dujaila,4212185,,24226,20260305183629
160,Second_Battle_of_Kut,4212231,,5753,20251101201624
161,Battle_of_Skra-di-Legen,4232559,,13629,20251119223157
162,Battle_of_Gotland,4233394,,6167,20260208115031
163,Battle_of_Doberdò,4273005,,6095,20251126090600
164,North_Sea_Mine_Barrage,4300405,,27478,20260313004521
165,Battle_of_Albert_(1914),4320523,,33584,20251027144324
166,Battle_of_Mărășești,4335069,,13523,20250618050757
167,Battle_of_Turtucaia,4340873,,59037,20260121212351
168,Battle_of_St_Quentin_Canal,4358916,,38877,20260325095707
169,Battle_of_Mughar_Ridge,4617126,,78377,20260309233825
170,Second_Battle_of_Champagne,4626407,,19650,20260118194232
171,Kerensky_offensive,4626622,,62019,20260409024114
172,Battle_of_Halen,4638889,,24544,20250926165748
173,Balkan_Front_(World_War_I),4731828,,26733,20260204103250
174,Battle_of_Mount_Ortigara,4732422,,4538,20251229021908
175,Winter_operations_1914–1915,4734887,,28084,20251108015430
176,Battle_of_Abu_Tellul,4735142,,39566,20251119223224
177,Gorlice–Tarnów_offensive,4783222,,38941,20260317192327
178,Lake_Naroch_offensive,4788605,,9977,20251112195321
179,Eleventh_Battle_of_the_Isonzo,4845471,,6217,20251107003009
180,Romania_in_World_War_I,4900822,,93841,20260321200019
181,East_African_campaign_(World_War_I),4974784,,56612,20260326222528
182,Samarra_offensive,5059343,,3316,20260305102512
183,Battle_of_Poelcappelle,5060080,,62163,20250624092659
184,Battle_of_Broodseinde,5060085,,60420,20250624092255
185,Battle_of_Polygon_Wood,5060088,,62204,20260327102647
186,Battle_of_Langemarck_(1917),5060092,,78914,20260320120826
187,Battles_of_Ramadi_(1917),5062769,,17897,20251101202203
188,Battle_of_Sharqat,5063276,,7263,20260130094058
189,Battle_of_the_Avre,5076856,,10226,20250605063759
190,Battle_of_Manzikert_(1915),5107649,,6433,20251119223531
191,Defense_of_Van_(1915),5120052,,92517,20260127080039
192,Battle_of_Morhange,5134763,,43513,20260324235950
193,Battle_of_Sarrebourg,5134769,,9877,20251206212854
194,Battle_of_Basra_(1914),5143972,,5603,20260324101104
195,Naval_warfare_in_the_Mediterranean_during_World_War_I,5156314,,17775,20260203105609
196,Battle_of_Moon_Sound,5182712,,16999,20260327164605
197,SMS_Cap_Trafalgar,5421507,,16596,20260410155113
198,Battle_of_Abaran,5522133,,4090,20260407152449
199,Battle_of_Karakilisa,5522577,,6365,20251119223527
200,Actions_of_the_Hohenzollern_Redoubt,5617236,,31164,20251123201501
201,Battle_of_Aubers,5809606,,14696,20250821170105
202,Battle_of_Arras_(1914),6334395,,51153,20260306230923
203,"Raid_on_Scarborough,_Hartlepool_and_Whitby",6548197,,32338,20260306230426
204,Flămânda_Offensive,6714812,,9959,20260402160259
205,Battle_of_Doiran_(1918),6739447,,16988,20251119223110
206,Battle_of_Zborov_(1917),6861741,,9030,20260102050433
207,Battle_of_Bakhmach,6863408,,7461,20260224181522
208,Battle_of_Moreuil_Wood,7014640,,13533,20250122121215
209,First_Battle_of_Champagne,7622742,,11327,20251124100544
210,Morava_Offensive,7931421,,3655,20251119223149
211,Ovče_Pole_Offensive,7931568,,3629,20251119223153
212,Kosovo_offensive_(1915),7931714,,19004,20251203073203
213,Battle_of_Bitlis,8243789,,8095,20251119223511
214,Occupation_of_Istanbul,8333286,,40474,20260404192132
215,Battle_of_Baku,8371628,,39336,20260329190157
216,Battle_of_Cantigny,8562836,,11753,20251226235651
217,Battle_of_Salaita_Hill,8656466,,6592,20250818232904
218,Battle_of_Latema_Nek,8690153,,8160,20250818232916
219,Battle_of_Bukoba,8693437,,6928,20260227004852
220,Battle_of_Kondoa_Irangi,8703621,,5803,20250123141250
221,Battle_of_Qurna,8908186,,8194,20260319181214
222,Battle_of_Dobro_Pole,9022782,,28825,20251119223108
223,Battle_of_Koprukoy,9285882,,5392,20251119223529
224,Battle_of_Mărăști,9378179,,21521,20250818211257
225,Persian_campaign_(World_War_I),9551750,,54458,20260411193519
226,Battle_of_Arara,9584200,,22729,20251119223236
227,Battle_of_Limanowa,9621857,,11339,20251026221105
228,Battle_of_Dilman,10081123,,5032,20260324010110
229,Battle_of_Rawa,10412109,,9159,20251020212212
230,Russian_invasion_of_East_Prussia_(1914),10459615,,32044,20260223195544
231,Battle_of_Cambrai_(1918),10732796,,7502,20251102161300
232,Tondern_raid,10885498,,14939,20251128200754
233,Operation_Hush,11378993,,41873,20260306230928
234,Second_Battle_of_Passchendaele,11489554,,54512,20250624093715
235,Battle_of_the_Canal_du_Nord,11522411,,20894,20250919063511
236,Battle_of_Kara_Killisse_(1915),11524050,,5125,20260221012859
237,Fourth_Battle_of_the_Isonzo,11748088,,5609,20251114174243
238,Battle_of_Kowel,11915338,,7063,20250909214630
239,Battle_of_Kostiuchnówka,12031780,,15701,20251112201147
240,Battle_of_Prunaru,12092973,,4289,20251128155357
241,Bergmann_Offensive,12211526,,18215,20260328023331
242,Battle_of_Durazzo_(1915),12224032,,6629,20251124182244
243,Trebizond_Campaign,12251608,,5273,20251119223543
244,Adriatic_Campaign_of_World_War_I,12257413,,29570,20260112121838
245,Battle_of_the_Gulf_of_Riga,12570224,,8997,20251221160359
246,Battle_of_Blanc_Mont_Ridge,12726332,,4459,20251117063708
247,First_Ostend_Raid,12967889,,16119,20250420185807
248,Second_Ostend_Raid,12987078,,24146,20251204105850
249,Battle_of_Mont_Saint-Quentin,13026723,,13013,20251230023857
250,Bombardment_of_Yarmouth_and_Lowestoft,13539437,,19510,20260215165718
251,Siege_of_Medina,13554491,,9765,20260411220123
252,Battle_of_Mecca_(1916),13618956,,6215,20251024084745
253,Campaigns_of_the_Arab_Revolt,13665006,,3403,20250207152518
254,British_campaign_in_the_Baltic_(1918–1919),13739620,,25847,20260410172646
255,Fifth_Battle_of_Ypres,13788445,,16560,20260306230933
256,Rovno_offensive,13794411,,17683,20251107213824
257,Battle_of_Mont_Sorrel,13974739,,22357,20250830212302
258,Battle_of_Monte_Grappa,14003545,,5145,20260117122301
259,Fifth_Battle_of_the_Isonzo,14003646,,6000,20251015112604
260,Seventh_Battle_of_the_Isonzo,14010383,,4830,20251013105945
261,Eighth_Battle_of_the_Isonzo,14010454,,4935,20260331142138
262,Ninth_Battle_of_the_Isonzo,14010520,,5250,20260409122100
263,Tenth_Battle_of_the_Isonzo,14010570,,10225,20260331151815
264,Battle_of_Bita_Paka,14545001,,37414,20260218035802
265,Battle_of_Komarów_(1914),15863465,,8211,20251112201436
266,Battle_of_Doiran_(1916),16656761,,3075,20251119223112
267,Battle_of_Doiran_(1917),16657153,,10097,20260313133103
268,Attack_on_the_Boar's_Head,16762288,,13561,20250714232742
269,Action_of_Khan_Baghdadi,17141142,,5052,20251101202536
270,Attack_on_Orleans,17147418,,8492,20260216032341
271,Siege_of_Toma,17254057,,7864,20260222235708
272,Blockade_of_Germany_(1914–1919),17310823,,57665,20260128174552
273,Battle_of_Bazargic,17494687,,8000,20260213131737
274,Leipzig_Salient,17951077,,48119,20251117171325
275,Battle_of_Kitcheners'_Wood,18331114,,11308,20251123201540
276,Raid_on_Yarmouth,18504059,,12449,20260225153936
277,Great_Retreat_(Russia),18541490,,21813,20260224224402
278,Action_of_16_March_1917,18653198,,18773,20250616140558
279,Battle_of_Sandfontein,18720522,,12983,20260218035707
280,First_Battle_of_Passchendaele,18841139,,56981,20251201160407
281,Mediterranean_U-boat_campaign_of_World_War_I,18993668,,17930,20251005025641
282,Occupation_of_German_Samoa,19244963,,17799,20260313085646
283,Battle_of_Wadi_(1916),19325356,,12639,20251106004848
284,First_Battle_of_Villers-Bretonneux,19493670,,13708,20251212035424
285,Second_Battle_of_Villers-Bretonneux,19493708,,25095,20251114011054
286,Battle_of_Más_a_Tierra,20155671,,8464,20260321061102
287,Bombardment_of_Papeete,20167416,,18881,20260319142905
288,Capture_of_Regina_Trench,20762030,,28400,20251117131027
289,Action_of_22_September_1914,20903111,,15834,20250609120709
290,Battle_of_the_Strait_of_Otranto_(1917),21046702,,18127,20260219004057
291,Battle_of_Rarańcza,21047367,,7253,20251222114141
292,Battle_of_Buqqar_Ridge,21050439,,30951,20251119223255
293,Operation_Alberich,21327086,,24171,20250601211414
294,Battle_of_the_Drina,21713100,,10309,20251229231147
295,Battle_of_Ambos_Nogales,21722164,,56642,20260217193214
296,Battle_of_Bucharest,21722734,,12668,20260201230026
297,Battle_of_Cape_Sarych,21826016,,9751,20260401125058
298,Battle_of_Transylvania,21851868,,49659,20251223200941
299,Battle_of_Kaymakchalan,22285265,,6501,20251119223125
300,Night_action_at_the_Battle_of_Jutland,22413822,,45864,20260124064642
301,U-boat_campaign,22620358,,77853,20260410172134
302,Battle_of_Ardahan,22631922,,14736,20260220193435
303,Battle_off_Texel,22878772,,18492,20250429160715
304,Battle_of_the_Selle,23082657,,7843,20260301175259
305,Bombardment_of_Madras,23643214,,7913,20260225204930
306,Action_of_4_May_1917,23646143,,8372,20250708220704
307,Sinking_of_SS_Kaiser_Wilhelm_der_Grosse,23652496,,4971,20260410173130
308,Action_of_17_November_1917,23667290,,6142,20251130201206
309,Bombardment_of_Ancona,23695078,,9034,20250331161911
310,Action_of_15_October_1917,23722097,,5537,20250613153303
311,Battle_of_Imbros,23725856,,18710,20260331213043
312,Battle_of_the_Somme_order_of_battle,23767678,,93558,20260107102550
313,Battle_of_Taif_(1916),23785357,,2400,20240925142351
314,Battle_of_Kisaki,23812154,,5177,20250123140837
315,Battle_of_Hanna,23862754,,5424,20260102040434
316,Action_off_Noordhinder_Bank,23977780,,18437,20251107100630
317,Atlantic_U-boat_campaign_of_World_War_I,24008426,,32345,20260103165143
318,Battle_of_Es_Sinn,24013833,,31167,20260120212733
319,Noemvriana,24021691,,54536,20260329211005
320,Battle_for_Lake_Tanganyika,24032821,,37730,20251119223743
321,Battle_of_La_Bassée,24088869,,52186,20260410002701
322,Battle_of_Sheikh_Sa'ad,24240060,,34266,20260131173009
323,Battle_of_Messines_(1914),24240306,,25610,20260410002706
324,Battle_of_Armentières,24240324,,51523,20260410002710
325,Mohmand_blockade,24255605,,2520,20260130083154
326,Operations_in_the_Tochi,24255943,,3812,20260130130254
327,"Operations_against_the_Mohmands,_Bunerwals_and_Swatis_in_1915",24287695,,3215,20260130083128
328,Battle_of_Flirey,24360881,,6776,20251129083309
329,Capture_of_Trônes_Wood,24425297,,44723,20251110213452
330,Second_Battle_of_Bapaume,24436088,,35083,20250828035145
331,Battle_of_Grand_Couronné,24541356,,15601,20260324205904
332,Battle_of_the_Hills,24557325,,61245,20251123181157
333,Battle_of_Kaniów,24891921,,10257,20260329215214
334,Battle_of_Otavi,25152602,,8129,20260221220107
335,Battle_of_Pilckem_Ridge,25477249,,82560,20260127200210
336,Battle_of_Trekkopjes,25568413,,5380,20260227004604
337,Battle_of_Mahiwa,25568909,,6315,20250716094004
338,Third_Battle_of_Oituz,25571845,,7636,20260206215051
339,Battle_of_Ngomano,25575534,,12088,20251029154339
340,Battle_of_Kahe,25576553,,2294,20250123133742
341,Battle_of_Dodoma,25576555,,1093,20241208085314
342,Battle_of_Mkalamo,25576557,,1764,20251216005633
343,Battle_of_Lukigura,25576558,,2323,20241208085338
344,Battle_of_Matamondo,25576560,,4250,20251025101235
345,Battle_of_Wami,25576563,,1916,20241208085408
346,Battle_of_Mlali,25576569,,2730,20260121030024
347,Battle_of_Morogoro,25576572,,1390,20250113223316
348,Battle_of_Kidodi,25576575,,1124,20241208085324
349,Battle_of_Dutumi,25576578,,3846,20251229232829
350,Battle_of_Njinjo,25576579,,984,20241208085358
351,Battle_of_Kimbaramba,25576583,,1080,20241208085328
352,Battle_of_Kibata,25576588,,5411,20251201050408
353,Battle_of_Behobeho,25576590,,3109,20250613153925
354,Battle_of_Utete,25576595,,1006,20241208085406
355,Battle_of_Nambanje,25576596,,2574,20250616140651
356,Battle_of_Rumbo,25576599,,2901,20251023065644
357,Battle_of_Narungombe,25576601,,4607,20251019074722
358,Battle_of_Antivari,25668453,,7430,20251228063722
359,Action_of_17_March_1917,25670314,,2260,20250414224422
360,Battle_of_Dover_Strait_(1916),25680613,,10198,20250901140144
361,Battle_of_Zanzibar,25682407,,11392,20251219070535
362,Battle_of_Dogger_Bank_(1916),25694267,,10830,20260212041702
363,Battle_of_Courtrai_(1918),25791681,,8495,20251113163041
364,Battle_of_the_Crna_Bend_(1916),25894154,,7443,20251119223058
365,Battle_of_the_Argeș,26092253,,9242,20251208021832
366,Action_of_29_February_1916,26375148,,17270,20250722063255
367,Scuttling_of_SMS_Cormoran,26598683,,6374,20250122133933
368,Battle_of_Kakamas,26665691,,6520,20260227004009
369,Battle_of_Gnila_Lipa,27647675,,7085,20260101111247
370,Affair_of_Néry,27671548,,28652,20260403164432
371,Action_of_Agagia,27852363,,18062,20251126115656
372,Battle_of_Katia,27914955,,29830,20250221055834
373,Monastir_offensive,27969216,,21494,20251119223145
374,Battle_of_Hijla,27989788,,3499,20251119223314
375,Battle_of_Malka_Nidzhe,28017465,,9356,20251119223139
376,Battle_of_the_Serre,28058386,,5740,20251028155209
377,Battle_of_the_Lys_and_the_Escaut,28058393,,9219,20251114124122
378,Action_of_19_August_1916,28215637,,17412,20251027221432
379,Battle_of_Durazzo_(1918),28366415,,10914,20260410113555
380,Action_of_15_August_1917,28505705,,4958,20251028051247
381,Battle_of_Kirpen_Island,28577558,,2953,20260120214514
382,First_Battle_of_Cobadin,28634639,,4718,20251125175931
383,Second_Battle_of_Cobadin,28638427,,9418,20251119223104
384,Bakar_mockery,28686044,,6903,20250331161949
385,Action_of_10_March_1917,28736026,,10565,20250828032452
386,German_campaign_in_Angola,28927452,,7182,20250904130809
387,Vardar_offensive,29083300,,39560,20260101110837
388,Action_off_Lerwick,30005038,,42370,20250613153510
389,Action_of_5_November_1916,30081188,,5864,20250408163832
390,Battle_of_the_Scarpe_(1918),30105161,,4968,20250819055355
391,First_Battle_of_the_Jordan,30745335,,82930,20251222164921
392,Operation_Michael,30860300,,79620,20260308082130
393,Battles_of_the_Isonzo,30862328,,16451,20260311123132
394,Convoys_in_World_War_I,31290405,,25064,20250927191134
395,Action_of_14_October_1918,31335521,,6630,20251202101221
396,Battle_of_Shaiba,31462918,,7231,20260324173312
397,United_States_Navy_operations_during_World_War_I,31780701,,28695,20260302200109
398,Battle_of_the_Crna_Bend_(1917),32047703,,36968,20251119223106
399,Battle_of_Haifa_(1918),32226790,,20776,20260330023933
400,Second_Battle_of_the_Jordan,32440598,,159683,20251109234056
401,Battle_of_Łowczówek,32699087,,6365,20260111180501
402,Capture_of_Jericho,33257607,,35520,20251119223322
403,Battle_of_Tell_'Asur,33446785,,15195,20260125172027
404,British_occupation_of_the_Jordan_Valley,33532731,,81267,20251119223253
405,German_invasion_of_Belgium_(1914),33568297,,64781,20260326175621
406,Christmas_Battles,33688792,,11867,20251119212018
407,Battle_of_Jaffa_(1917),34419956,,18116,20251129215834
408,Battle_of_the_Menin_Road_Ridge,34454833,,72896,20260327102733
409,Battle_of_Sharon,34632002,,110038,20251127105934
410,Battle_of_Krivolak,34644888,,25572,20251119223133
411,Battle_of_Nebi_Samwil,34724938,,13469,20251119223343
412,Action_of_Arsuf,34725000,,4043,20251119223238
413,Charge_at_Huj,34743955,,11564,20260222074455
414,Battle_of_Samakh,34823146,,38430,20251119223356
415,Battle_of_Tulkarm,34823997,,43008,20251119223419
416,Battle_of_Tabsor,34878034,,63350,20251119223408
417,Battle_of_Nazareth,34889157,,41831,20251119223341
418,Capture_of_Afulah_and_Beisan,35030490,,53978,20251119223226
419,Capture_of_Jenin,35052502,,44307,20251119223320
420,"Western_Front_tactics,_1917",35053080,,154988,20260412013332
421,Capture_of_Oppy_Wood,35125389,,42199,20251123180543
422,Togoland_campaign,35197805,,37641,20251222204939
423,Affair_of_Agbeluvoe,35203828,,18418,20260323081025
424,Affair_of_Khra,35207490,,28798,20251119223703
425,Battle_of_Nablus_(1918),35211301,,77133,20251119223338
426,Capture_of_Damascus_(1918),35220403,,119799,20260318162114
427,Battle_of_Yanbu,35261722,,3453,20260330004020
428,Battle_of_Wadi_Musa,35409159,,2372,20250711234718
429,Third_Transjordan_attack,35514948,,92081,20260411090913
430,Kamerun_campaign,36127894,,25364,20260201045736
431,Battle_of_Tepe,36128219,,3610,20260201221620
432,First_Battle_of_Garua,36140891,,5866,20260201222355
433,Capture_of_Tiberias_(1918),36400027,,21092,20251119223415
434,Skirmish_at_Joncherey,36410900,,5510,20250413005032
435,Pursuit_to_Haritan,36717539,,84256,20251217234825
436,Battle_for_Baby_700,36798476,,22396,20250801091846
437,Charge_at_Irbid,36821748,,16798,20260207090527
438,Charge_at_Kaukab,36830045,,26300,20250625201821
439,Battle_of_Jabassi,36957211,,5400,20260201203157
440,Battle_of_Nsanakong,36964726,,5798,20260202001444
441,Battle_of_Jisr_Benat_Yakub,37012483,,25976,20260208142806
442,Naval_operations_of_the_Kamerun_campaign,37031087,,9256,20260216001514
443,Charge_at_Kiswe,37086087,,17595,20250515061748
444,Action_of_Elouges,37097994,,2996,20250414120227
445,Siege_of_Mora,37118972,,16980,20251119223709
446,Charge_at_Khan_Ayash,37199711,,23195,20260125202017
447,Battle_of_Kusseri,37206689,,4668,20260201203656
448,Capture_of_Jisr_ed_Damieh,37267442,,26938,20251211153539
449,Battle_of_Aleppo_(1918),37377114,,20134,20260127175317
450,Charge_at_Haritan,37377297,,18540,20260318211617
451,Australian_occupation_of_German_New_Guinea,37426045,,13566,20260327080837
452,First_Battle_of_Amman,37501009,,73964,20260118223518
453,Second_Battle_of_Amman,37555743,,37658,20251119223234
454,Battle_of_Ukoko,38020658,,5110,20260201221817
455,Battle_of_Gurin,38070341,,5701,20260227004520
456,Raid_on_the_Beersheba_to_Hafir_el_Auja_railway,38072526,,21339,20251119223244
457,Second_Battle_of_Garua,38098713,,9578,20260221215907
458,Battle_of_Ngaundere,38100712,,5502,20260227005254
459,Battle_of_Ayun_Kara,38262376,,17462,20251119223240
460,Raid_on_Nekhl,38267954,,15892,20251119223345
461,Stalemate_in_Southern_Palestine,38269026,,155273,20251119223349
462,Battle_of_Hartmannswillerkopf,38314926,,19639,20251124103450
463,Operation_Faustschlag,38345142,,21567,20260403060600
464,Southern_Palestine_offensive,38380692,,177539,20260209185729
465,Rearguard_Affair_of_Étreux,38441480,,5951,20250613124315
466,Rearguard_Affair_of_Le_Grand_Fayt,38441948,,4781,20251106105038
